#Label	#Number	She	Rhyme	1 kai	2 kai	3 kai	4 kai	1 he	2 he	3 he	4 he	Tone
巧	88	6	21	-	arwʔ	-	-	-	-	-	-	2
晧	89	6	20	awʔ	-	-	-	-	-	-	-	2
哿	90	1	1	aăʔ	-	-	-	-	-	-	-	2
果	91	1	2	-	-	-	-	waăʔ	-	-	-	2
馬	92	2	3	-	arʔ	iaăʔ	iaăʔ	-	warʔ	-	-	2
養	93	8	28	-	ɨaăŋʔ	ɨaăŋʔ	ɨaăŋʔ	-	uaăŋʔ	uaăŋʔ	-	2
蕩	94	8	27	aăŋʔ	-	-	-	waăŋʔ	-	-	-	2
梗	95	10	35	ajŋʔ	arjŋʔ	iajŋʔ	iajŋʔ	-	warjŋʔ	wiajŋʔ	-	2
耿	96	10	36	-	ɛrjŋʔ	-	-	-	-	-	-	2
靜	97	10	37	-	iajŋʔ	iajŋʔ	jiajŋʔ	-	-	-	jwiajŋʔ	2
迥	98	10	38	-	-	-	ɛjŋʔ	-	-	-	wɛjŋʔ	2
拯	99	9	32	-	-	iŋʔ	-	-	-	-	-	2
等	100	9	31	ǝŋʔ	-	-	-	-	-	-	-	2
有	101	7	25	-	uwʔ	uwʔ	uwʔ	-	-	-	-	2
厚	102	7	24	owʔ	-	-	-	-	-	-	-	2
黝	103	7	26	-	-	-	jiwʔ	-	-	-	-	2
寑	104	16	94	-	imʔ	imʔ	jimʔ	-	-	-	-	2
感	105	15	78	ǝmʔ	-	-	-	-	-	-	-	2
敢	106	15	79	amʔ	-	*iamʔ	-	-	-	-	-	2
琰	107	15	84	-	-	iamʔ	jiamʔ	-	-	-	-	2
忝	108	15	85	-	-	*ɛmʔ	ɛmʔ	-	-	-	-	2
豏	109	15	81	-	ɛrmʔ	*ɛrmʔ	-	-	-	-	-	2
檻	110	15	80	-	armʔ	-	-	-	-	-	-	2
儼	111	15	82	-	*ɨamʔ	ɨamʔ	-	-	-	-	-	2
范	112	15	83	-	-	-	-	-	-	uamʔ	-	2
送	113	12	45	owŋh	owŋh	uwŋh	uwŋh	-	-	-	-	3
鍾	114	12	46	awŋh	-	-	-	-	-	-	-	3
用	115	12	47	-	-	uawŋh	uawŋh	-	-	-	-	3
絳	116	11	43	-	arwŋh	-	-	-	-	-	-	3
寘	117	5	16	-	iăh	iăh	jiăh	-	-	wiăh	jwiăh	3
