102	1553
127	1131
129	1525
131	1550
134	1504
172	2256
175	1890
189	2608
206	2625
208	2629
265	4089
318	4836
351	4467
447	5900
518	8479
539	8494
549	8106
571	7368
632	7768
636	8526
641	8124
753	3738
754	3739
755	3740
756	10313
759	9983
798	10340
907	11863
908	11862
910	11861
959	15119
985	13302
1031	13278
1087	14544
1104	14043
1108	14042
1111	14382
1175	533
1177	478
1178	525
1179	541
1197	1715
1225	1273
1237	1614
1240	1252
1271	1998
1274	1992
1293	2739
1404	5287
1408	5274
1410	5651
1417	4536
1453	4579
1467	6038
1497	6772
1500	6771
1566	8214
1583	8588
1636	8242
1637	8637
1646	8219
1719	9677
1757	10484
1774	10457
1789	11164
1798	11192
1812	11221
1833	11140
1839	11928
1853	11886
1867	12629
1879	11956
1888	12686
1932	13430
1985	13756
1994	14087
2030	14155
2037	14158
2044	14503
2054	14013
2066	14475
2111	534
2112	616
2145	1379
2150	1378
2158	1362
2189	2422
2191	2442
2200	2087
2228	2424
2268	3179
2300	4292
2361	4673
2362	4656
2367	5752
2392	5020
2394	5030
2415	5717
2430	5713
2436	5730
2447	5731
2468	5008
2520	4608
2585	7611
2587	7601
2610	6083
2627	8292
2650	8674
2651	8682
2703	8344
2714	8716
2715	8726
2719	8703
2720	8681
2721	8733
2765	9084
2766	9079
2828	10129
2834	10129
2836	9757
2902	11466
2937	12034
2938	12016
2943	12013
2946	11987
2969	12042
3026	13495
3130	14251
3136	14601
3142	14207
3143	14199
3159	14955
3260	1039
3279	6196
3295	6228
3313	6582
3343	7687
3348	7693
3350	6563
3367	6535
3386	8748
3409	8768
3462	8441
3496	8440
3502	8791
3507	7689
3509	7699
3511	7691
3512	7692
3516	7690
3571	11685
3572	11694
3587	12014
3615	12825
3625	12816
3646	12851
3721	15385
3722	15736
3768	14268
3769	14285
3784	14711
3785	14638
