1	AB
2	A
3	B
4	A
5	B
6	B
7	B
8	B
9	B
10	B
11	A
12	A
13	A
14	A
15	A
16	A
17	B
18	B
19	B
20	B
21	B
22	B
23	A
24	A
25	A
26	A
27	A
28	A
29	A
30	B
31	B
32	B
33	A
34	A
35	A
36	A
37	A
38	B
39	A
40	AB
41	A
42	A
43	A
44	B
45	B
46	B
47	A
48	B
49	B
50	B
51	B
52	B
53	A
54	B
55	A
56	B
57	B
58	AB
59	A
60	A
61	B
62	B
63	B
64	B
65	B
66	B
67	A
68	A
69	A
70	A
71	A
72	A
73	B
74	B
75	B
76	B
77	B
78	A
79	A
80	A
81	A
82	A
83	A
84	A
85	B
86	A
87	B
88	A
89	A
90	A
91	A
92	A
93	B
94	A
95	AB
96	A
97	B
98	A
99	B
100	A
101	B
102	A
103	B
104	B
105	A
106	A
107	B
108	A
109	B
110	A
111	A
112	B
113	AB
114	A
115	B
116	A
117	B
118	B
119	B
120	B
121	A
122	A
123	A
124	A
125	B
126	A
127	A
128	A
129	A
130	A
131	A
132	B
133	B
134	B
135	B
136	B
137	B
138	A
139	A
140	A
141	A
142	A
143	A
144	A
145	B
146	A
147	B
148	A
149	A
150	A
151	A
152	A
153	B
154	A
155	AB
156	A
157	B
158	A
159	B
160	A
161	B
162	A
163	B
164	B
165	A
166	A
167	B
168	A
169	B
170	B
171	A
172	B
173	AB
174	A
175	B
176	A
177	B
178	B
179	B
180	B
181	B
182	B
183	A
184	A
185	A
186	A
187	A
188	A
189	B
190	B
191	A
192	AB
193	A
194	B
195	A
196	B
197	A
198	B
199	A
200	A
201	B
202	A
203	A
204	A
205	B
206	B
