1	31	al
32	106	aɣ
107	107	ǝɣ
108	138	aɥ
139	266	an
267	348	at
349	360	al
361	392	ǝŋj
393	415	ǝkj
416	485	ǝn
486	540	ǝt
541	605	ǝl
606	627	am
628	642	ap
643	674	ǝm
675	696	ǝp
697	765	aŋ
766	807	ak
808	843	aŋj
844	860	akj
861	880	aj
881	902	ǝŋ
903	935	ǝk
936	1001	ǝɣ
1002	1015	ǝŋw
1016	1039	ǝkw
1040	1116	ǝw
1117	1128	akw
1129	1171	aw
1172	1201	aŋɥ
1202	1228	akɥ
1229	1235	aɥ
1236	1261	-
